id,word,definition
7760,Pathological,in an unusual or unhealthy manner
7761,Pathos,a feeling of sympathy or pity
7762,Pathway,a trail or passageway
7763,Patience,"tolerating and enduring frustrating, time-consuming and problems with ease and composure"
7764,Patient,tolerating problems or irritation in an easygoing way
7765,Patiently,in a tolerant and good natured way
7766,Patina,a layer of coating
7767,Patio,a paved outside space that is usually attached to the house
7768,Patois,the accent and way that the people of a certain area speak that is different than the rest of the place
7769,Patriarch,the male who sits at the head of the tribe or family
7770,Patriarchal,related to a system that is run or ruled by men
7771,Patriarchy,a system of authority in which males are the power holders
7772,Patrician,relating to an individual born into a lofty position or an aristocratic family
7773,Patricide,the action taken when an individual ends the life of his or her father
7774,Patrilineal,pertaining to the father’s lineage
7775,Patrimony,property or goods passed from one’s father or predecessors
7776,Patriot,a person who shows allegiance to his or her country by supporting and defending it
7777,Patriotic,pertaining to one’s allegiance and dependability to one’s country
7778,Patriotism,allegiance and dependability to a country
7779,Patrol,a duty to guard or observe an area for security reasons
7780,Patron,"an individual who frequents a specific bar, eatery, or other company"
7781,Patronage ,support or sponsorship
7782,Patronize,to give money or support to someone or something
7783,Patronymic,pertaining to the father’s or male relative’s name
7784,Pattern,a decorative design or motif
7785,Paucity,a small amount of something that is not enough
7786,Pauper ,a person who lives in poverty
7787,Pause,to stop temporarily
7788,Pause,"an act someone halts temporarily, usually from a task or speaking; short break"
7789,Pave,to overlay a surface usually with cement or concrete in order to make it easier to travel on
7790,Pavement,a smooth concrete surface
7791,Pavilion,a constructed shelter used for certain reasons
7792,Pavonine,pertaining to a peacock
7793,Paw,the appendage of a two or four-legged animal
7794,Pawn,an item that is handed over as collateral for a money loan
7795,Pay,"to give to a person what is due, as for goods and services"
7796,Paycheck,a check in payment of wages and salary
7797,Payment,the amount paid or installment of something owed
7798,Payroll,distinct amounts of money distributed to a list of workers for conducting their job
7799,Paystub,a piece of paper given to a worker that shows the amount of money he or she earned and what was taken for taxes
7800,Peace of mind,calmness; a feeling of content
7801,Peace of mind,a feeling of being calm and not worried about anything
7802,Peace,harmony and restfulness
7803,Peaceable,tending to be free from disagreement and fighting
7804,Peaceful,"without disruption, commotion or disorder"
7805,Peacefully,quietly and calmly
7806,Peak,the highest part of a mountain
7807,Peal,the piercing sound of something
7808,Pear,a sweet firm fruit that has a thinner top with a bowl-like base
7809,Peasant,an individual of the lowest class who is normally uneducated
7810,Peat,remnants of vegetables that are used to enrich soil
7811,Pebble,a flat stone
7812,Peccable,likely to do wicked or wrong things
7813,Peccadillo,a small mistake or fault
7814,Peccant,having committed a sin
7815,Peck,to jab or poke at something
7816,Peculate,"to take money that belongs to others, usually a business or public agency"
7817,Peculiar,odd; unusual
7818,Peculiarity,having an odd or strange way or action
7819,Pecuniary,dealing with finances
7820,Pedagogue ,an individual who teaches young people
7821,Pedagogy,"activities of educating, teaching or instructing"
7822,Pedal,to move a bicycle by operating the controls
7823,Pedant,a scholar or learned person
7824,Pedantic,giving too much importance to details and formal rules
7825,Peddle,to sell products by traveling to other places
7826,Peddler,an individual who moves from location to location selling things
7827,Pedestal,a standing from which an individual is greatly admired
7828,Pedestrian,uninteresting or boring
7829,Pedigree,a record of ancestry that relates to living creatures
7830,Pedometer,a device used to measure steps taken
7831,Peek-a-boo,something that just reveals glimpses of something while hiding the rest
7832,Peek,to take a quick glance
7833,Peep,to look
7834,Peer pressure,influence from others to do a certain thing (usually something negative)
7835,Peer,is an equal person of the same age
7836,Peerless,one and only; superior than any other
7837,Peeve,an annoyance or irritant
7838,Peevish ,always whining or complaining
7839,Pejorative,expressing disapproval or belittling the importance of something
7840,Pelf,money
7841,Pell-mell,a confused or disorderly manner
7842,Pellucid,very well-defined in meaning and style
7843,Pelt,to beat or hit repeatedly
7844,Penal,penal refers to a disciplinary punishment
7845,Penalty,a penalty is punishment for violating a rule or law
7846,Penance,self-inflicted punishment for a misdeed
7847,Penchant,a strong liking
7848,Pendant,a pendant a piece of jewelry worn around the neck
7849,Pending,pending means awaiting approval or decision
7850,Pendulous,hanging down
7851,Pendulum,something hanging and swinging freely back and forth under the influence of gravity
7852,Penetralia,penetralia is a centermost hidden chamber or room
7853,Penetrate,to blend into a group or organization or to gain entry
7854,Penetrated,penetrated means to go through
7855,Peninsula,a peninsula is a piece of land surrounded by water
7856,Penitent,feeling grief for a previous offense or sin
7857,Penitentiary,an area where individuals who have committed major crimes are imprisoned
7858,Penmanship,penmanship is handwriting
7859,Penniless,penniless means without money and extremely poor
7860,Pensee,"a pensee is a thought, or thoughts, translated into a literary format such as prose or poems"
7861,Pension,a payment made during a person’s retirement
7862,Pensioner,a person who receives a pension
7863,Pensive,expressing or revealing sad thoughtfulness
7864,Pentacle,a symbol of a circle with a star inside of it
7865,Pentagon,a figure with five straight sides and angles
7866,Pentecost,the celebration of the day the church began
7867,Penultimate,right before the final one
7868,Penumbra,"something that conceals, encloses, or cloaks something else"
7869,Penurious,desperately in need; not having enough
7870,Penury,extreme poverty
7871, Peon ,an individual with no authority who earns a small salary despite having exhausting job duties
7872,Peppy,energetic and high-spirited
7873,Per capita,per person
7874,Per se,by itself or as such
7875,Peradventure,doubt or uncertainty
7876,Perambulate,"to travel over, especially on foot"
7877,Perambulator,a stroller
7878,Perceive,to view or become aware of
7879,Percentage,an amount in each hundred
7880,Percentile,"a certain percentage of a whole, usually on a scale of 100"
7881,Perceptible,able to be noted or observed
7882,Perception,a way of understanding or regarding a particular subject
7883,Perceptive,very aware and sensitive to events around them
7884,Perceptively,showing insight and intelligence through action
7885,Perceptual,the ability to interpret and perceive
7886,Perch,to settle or land on a raised area or site
7887,Perch,to sit and rest
7888,Perchance,perhaps; by chance
7889,Percipient,to have a good perspective of things
7890,Percolate,to gradually penetrate
7891,Percussion,an instrument that makes music when struck
7892,Perdition ,unending damnation
7893,Peregrination ,the act of wandering or drifting around
7894,Peremptory,"used to describe an order, command, etc., that you must obey without any questions or excuses"
7895,Perennial,"lasting or remaining active throughout the year, or all the time"
7896,Perfect,complete in all respects; flawless
7897,Perfection,"flawless or unblemished physically, mentally, and spiritually"
7898,Perfidious,not able to be trusted
7899,Perfidy,behavior that shows that someone cannot be trusted
7900,Perforate,to pierce or penetrate and make holes in
7901,Perforce,because of circumstances or necessity
7902,Perform,to carry out or fulfill a task
7903,Perform,to do a function or action
7904,Performance,an activity that a person or group does
7905,Perfunctory,done routinely and with little interest or care
7906,Perigee,the point in the orbit of the moon or a satellite at which it is nearest to the earth
7907,Peril,grave and imminent danger
7908,Perilous,full of danger
7909,Perimeter,the border of an area or figure
7910,Period,the range of time when something happens
7911,Periodic,occurring regularly or at specific intervals of time
7912,Periodical,occasional or appearing at different intervals
7913,Peripatetic,traveling from place to place
7914,Peripheral,relating to minor matters
7915,Periphery ,the area that borders a thing or place
7916,Periscope,"a viewing instrument, in the shape of a tube comprised of mirrors and lenses, that allows a viewer to obtain a clear field of sight"
7917,Perish, pass away; rot or decay
7918,Peristalsis,"rhythmic, wave-like contraction of the digestive tract that forces food through it"
7919,Perjury,giving false testimony after swearing to state the truth
7920,Perk,a bonus or incentive
7921,Perky,lively or enthusiastic
7922,Permafrost,"a soil layer, typically found in extremely cold regions, that remains frozen for a very long time"
7923,Permanence,the state of being fixed or stable
7924,Permanent,"something that will last indefinitely, cannot be changed, or erased"
7925,Permeable,that absorbs or allows the passage of fluids or gases
7926,Permeate,to pass or spread through
7927,Permissible,permitted
7928,Permissive,"giving permission, or predisposed to give it; lenient"
7929,Permit,to give authorization to do something
7930,Permutation,one of the forms or conditions in which something occurs or can be positioned
7931,Pernicious,highly injurious or destructive
7932,Peroration,the conclusion of a speech designed to drive the message home
7933,Perpendicular,precisely upright or vertical at a ninety-degree angle
7934,Perpetrate ,to execute or carry out
7935,Perpetrator ,one who performs a crime or offence
7936,Perpetual,"continuing forever, constant, never-ending"
7937,Perpetuate,to cause to continue
7938,Perpetuity,forevermore or permanently
7939,Perplex,to puzzle or confuse
7940,Perplexity,a confused mental state
7941,Perquisite,"a privilege, gain, or a special benefit; perk"
7942,Persecute,to afflict constantly so as to injure or distress
7943,Persecution ,"a campaign designed to harm someone because of a cultural, sexual, religious, or racial difference"
7944,Perseverance,resolve that allows one to continue with a duty or task regardless of difficulty or previous attempts
7945,Persevere,to persist in completing a task or meeting a goal
7946,Persiflage ,dialogue that is joking and playful
7947,Persimmon,a reddish-orange sweet fruit that is similar to a plum
7948,Persist,to strongly maintain or carry on
7949,Persistence,the ability to continue on with something in spite of difficulty or opposition
7950,Persistent ,not stopping; continuous
7951,Persnickety,being overly focused on small details
7952,Persona non grata,someone who is unwanted or blacklisted for some perceived fault
7953,Persona,the appearance one has around other people
7954,Personable ,having a pleasant personality
7955,Personage,an important person; notable
7956,Personal,something that only relates or applies to the person in question
7957,Personality,"the attitude, temperament, and disposition of someone"
7958,Personalize,to customize something or tailor it to specific needs
7959,Personification,a thing or individual that embodies a specific quality
7960,Personify,to give the qualities of a human being to a thing or concept
7961,Personnel,employees or workforce of a company
7962,Perspective,the way an individual views something
7963,Perspicacious,able to judge quickly and correctly what people and situations are really like
7964,Perspicacity,the ability to notice and understand things that are not obvious
7965,Perspicuity,clearness that is easy to understand
7966,Perspicuous,easy to comprehend
7967,Perspiration,"salty, watery fluid secreted by the sweat glands"
7968,Persuade,to convince an individual or group to do something
7969,Pert,well-formed; attractive
7970,Pertain,related or connected to the subject being referenced
7971,Pertinacious,firm on achieving a task
7972,Pertinent,relevant to a particular matter
7973,Perturb,to upset a person
7974,Perturbation,the condition of being distressed
7975,Perturbed,worried or disturbed by something
7976,Peruse,to read or examine carefully; to look over casually
7977,Pervade,to spread through all parts
7978,Pervasive,capable of affecting or influencing everything
7979,Perverse,not normal or proper
7980,Perversion,"human behavior, especially that of a sexual nature, that isn’t considered normal or moral"
7981,Pervert,to distort or corrupt something
7982,Pesky,irritating; annoying
7983,Pessimism,the habit of always seeing things in the worst light
7984,Pessimistic,negative in outlook
7985,Pester,to bother someone with several questions or requests to the point that it becomes a point of anger
7986,Pestiferous,carrying infection or disease
7987,Pestilence,a devastating illness or disease that causes a large number of individuals to die
7988,Pestilent,producing irritation
7989,Pestilential,capable of producing a devastating and contagious disease
7990,Pestle,handheld tool used to grind or crush substances up
7991,Petal,one of the soft colored leafs surrounding the center of a flower
7992,Petard,a small bomb that is used to breach a door or wall
7993,Petite,comparatively little or tiny
7994,Petition,an official document that makes a request and is signed by supporters
7995,Petrified,extremely afraid
7996,Petrify,to scare someone into inaction
7997,Petty,small and insignificant
7998,Petulance,"characterized by being bad-tempered and unreasonable, especially because you cannot do or have what you want"
7999,Petulant,"to describe a person or behavior that is irritable, especially in a childish way"
8000,Pew,a long bench inside a church which holds several people
8001,Phalanx,"a body of troops or police officers, standing or moving in close formation"
8002,Phantasm,something seen but isn't real and exists only in your imagination
8003,Phantasmagoria,a bizarre combination or collection
8004,Phantom,a ghost
8005,Pharaoh,a ruler in ancient Egypt
8006,Phase,a distinguishable part of a sequence or cycle occurring over time
8007,Phenomenal,astonishing; extremely remarkable
8008,Phenomenon,a person or thing that is often awe-inspiring because of its unique quality
8009,Phenotype,the physical appearance of an organism resulting from its genetic makeup and environmental influence
8010,Phew,"to convey a sense of relief, fatigue, surprise, disgust when something hard is finished or no longer worried about something"
8011,Philander,to shamelessly flirt or take advantage of sexually
8012,Philanthropist,an individual who is very generous to others
8013,Philanthropy,the act of donating time and money to help others
8014,Philippic,a nasty tirade against a thing or individual
8015,Philistine ,one who focuses on materialistic pursuits and has no appreciation of culture and art
8016,Philology,"the study of historical prose, poetry and linguistic fields"
8017,Philosopher,someone who provides answers or deep explanations on reason and beliefs
8018,Philosophize,"to think to oneself or talk on deep, serious or fundamental issues, like the meaning of life"
8019,Philosophy,a study or branch that includes the deep explanations on reason and beliefs
8020,Phlegmatic,"not easily upset, excited, or angered"
8021,Phobia,an unreasonable fear
8022,Phonetic,relating to the sounds of speech
8023,Phonics,a method of instructing reading which focuses on the way letters and syllables sound separately and together
8024,Phonology,refers to relationships among speech sounds
8025,Phony,fraudulent; fake; having a misleading appearance
8026,Phosphate,"a fizzy drink containing water, sweet liquid and an acid"
8027,Phosphorescence,a glowing illuminated object caused by radiation
8028,Phosphorous,a reactive natural substance that is both necessary for life but also toxic in large amounts
8029,Photobomb,to spoil one’s picture by suddenly placing oneself in front of the camera
8030,Photogenic,looking good when photographed
8031,Photograph,a picture taken with a camera usually so the event can be remembered later
8032,Photographer,someone who creates pictures using a camera for a job
8033,Photographic,relating to taking pictures with a camera
8034,Photography,using illumination and a camera to create pictures of objects
8035,Photometer,a device that gauges intensity of light
8036,Photon,a small atom or unit in the category of electrically charged things
8037,Photosynthesis,the biological process in which plants turn carbon dioxide and water into nourishment
8038,Phraseology,phraseology is a choice of words
8039,Phrenology,phrenology is the study of the cranium to learn of one’s character and mental abilities
8040,Phylum,phylum is a taxonomic naming level between kingdom and class
8041,Physical change,an alterable conversion usually in a substance’s form and volume but does not affect the chemical structure
8042,Physical Property,"aspects of objects that are observable and often used to describe them, such as color or texture"
8043,Physical,physical means relating to the body
8044,Physicality,involvement of a lot of physical contact
8045,Physician,a physician is a doctor
8046,Physicist,a physicist is one who is an expert in physics
8047,Physics,branch of science concerned with the properties of matter and energy
8048,Physiognomy,the face or exterior of an object or region viewed as a way of understanding character
8049,Physiological,"of, or relating to physiology"
8050,Physique,a physique is the size and type of a person’s body
8051,Piano,a piano is a keyboard instrument
8052,Picayune,insignificant; small
8053,Picket,action taken by unhappy workers in which they stand outside of their workplace and protest something to bring about a change
8054,Pickwickian,having the attributes of innocence and naiveté
8055,Picnic,a picnic is a meal eaten outdoors usually on the ground
8056,Pictograph,a pictograph is a visual depiction of information
8057,Pictorial,pictorial means to be expressed in pictures
8058,Picture,"representation of a visible reality produced by painting, drawing, photograph, etc."
8059,Picturesque ,having the attributes of a painting or picture
8060,Piddling,piddling means useless petty and trivial
8061,Piddling,trivial and petty in importance or significance
8062,Pidgin,"a grammatically simplified form of a language, used for communication between people not sharing a common language"
8063,Piece,a piece is a part of a whole
8064,Piecemeal ,made bit by bit
8065,Pied,pied means having two or more different colors
8066,Piedmont,a piedmont is gentle slope leading from the base of mountains to a region of flat land
8067,Pier,a tall and long dock for boats or people that extends out several yards into a body of water
8068,Pierce ,to make a hole in something with a sharp object
8069,Pierce,(Of a sharp object) to penetrate or puncture something
8070,Piety,respect and devotion to a higher power or religious organization
8071,Piffle,nonsense or rubbish
8072,Pigeonhole,a small compartment
8073,Piggyback,to carry someone on your back or shoulders
8074,Pigment,a natural substance that gives color to something else
8075,Pile,a heap or mound of things
8076,Pilfer,to take illegally in small amounts
8077,Pilferage,the recurrent theft of small items of little value
8078,Pilgarlic,bald
8079,Pilgrim,"an English Puritan who founded the colony of Plymouth, Massachusetts"
8080,Pilgrimage,"a trip or journey, usually for religious purposes"
8081,Pillage,"to take by force, normally during a war or battle"
8082,Pillar,"a tall upright structure made of stone, wood, or metal, to be used as a support for a building"
8083,Pillory,
8084,Pilose,to be covered in long soft hairs
8085,Pilot,one who operates aircraft
8086,Pin,a small piece of metal used to fasten or attach things
8087,Pinch,to tightly grip using a finger and thumb
8088,Pine,an evergreen coniferous tree
8089,Ping,"a sharp sound, like that of metal striking something"
8090,Pining,to yearn or long for something or someone
8091,Pinion,wing of a bird
8092,Pinnacle,the uppermost level achievable
8093,Pinpoint,to find precision and accuracy
8094,Pioneer ,an individual who prepares a path for others
8095,Pious,deeply religious
8096,Pipe Dream,a goal or ambition generally regarded as unattainable
8097,Pipe,a tube that is used to transport fluid
8098,Pipeline,"a long pipe, usually underground, for transporting oil and gas"
8099,Pippin,an apple
8100,Piquancy,agreeably pungent to the taste
8101,Piquant,appealing or delightful
8102,Pique ,to trigger curiosity or interest
8103,Piracy,"the practice of hijacking, stealing, or reproducing the works and goods of another person"
8104,Pirate,the act of stealing or reproducing a copyrighted work for profit
8105,Pirogue,a pirogue is a long narrow canoe
8106,Pirouette,a ballet move that requires spinning on foot with the raised foot pressed against your knee
8107,Piscine,anything about or related to fish
8108,Pistil,"the feminine parts of a flower, consisting of the stigma, ovary, and style that are responsible for producing seeds"
8109,Pit,a large hole in the ground
8110,Pitch,the degree of highness or lowness used in a musical performance
8111,Pitcher,a large container with a handle and a spout used for holding liquid
8112,Piteous ,provoking pity
8113,Pitfall,"potential problem, difficulty, or danger"
8114,Pith,spongy tissue in animals and plants
8115,Pithy,using few words in a clever and effective way
8116,Pitiable,pitiful; pathetic
8117,Pitiable,deserving pity or sympathy
8118,Pitied,to have feelings of sadness or sorrow for others
8119,Pitiful,producing pity
8120,Pitiless,"ruthless, unmerciful, and without remorse"
8121,Pittance ,a tiny amount of something
8122,Pity,sorrow or sympathy
8123,Pivot,to turn or rotate on a fixed point
8124,Pivotal,of crucial significance
8125,Pixelated,divided into pixels (a picture)
8126,Placate,to appease or pacify
8127,Place,to put something in a particular position
8128,Placebo,a substance with no medical effect that is given either to patients or individuals involved in a drug trial
8129,Placement,"a job, post or position to which someone is assigned"
8130,Placid,not easily upset or excited
8131,Plagiarism,using another’s work without having permission or giving credit
8132,Plague ,to constantly bother or distress
8133,Plain,not luxurious or fancy; ordinary
8134,Plaint,a legal complaint against someone made to the court
8135,Plaintiff,in court the individual who claims someone else is responsible for a misdeed
8136,Plaintive ,expressing sorrow
8137,Plait,braid
8138,Planetary,"relating to planets, or the orbital motion of planets"
8139,Plangent,having a loud mournful sound
8140,Plankton,small organisms that float in the ocean and serve as a food source for many marine animals
8141,Plantation,a large area where crops are grown
8142,Plants,"a group of living organisms that have leaves, stems, and roots which needs water and sun to live"
8143,Plasma ,the liquid element of blood that transports blood cells
8144,Plastic,generic term used in the case of polymeric material that can be shaped into different forms
8145,Plasticity,changeability
8146,Plateau ,a time or point where no advancement is made
8147,Platform,a raised surface that supports standing people or things
8148,Platitude,something that has been said so often that it is not interesting anymore
8149,Platonic,describing a relationship without sexual intimacy
8150,Platoon,a group of people working together towards a common goal
8151,Plaudit,a showing of approval or applause
8152,Plausible,something appearing reasonable or probable
8153,Play,to take part in an activity
8154,Play,act in a manner such as one has fun
8155,Playful,fond of play or fun
8156,Playwright,a person who writes plays
8157,Plea bargain,to agree to plead guilty in return for a lesser charge
8158,Plea,an urgent or especially emotional request
8159,Plead,to make a case for
8160,Pleasant,giving pleasure; pleasing in manner; nice
8161,Pleasanter,more friendly or agreeable than something else
8162,Pleasantries,"polite remarks, usually made by people when they first meet to show they are friendly"
8163,Please,to make someone happy
8164,Pleasing,satisfying; giving pleasure
8165,Pleasure,enjoyment; happiness
8166,Plebeian,not worthy of the upper classes; ordinary
8167,Plebiscite,an election in which individuals cast votes in favor of or against a major proposal or candidate
8168,Pledge,a promise
8169,Plenary ,attended by all members of a group
8170,Plenitude,"abundance, plenty"
8171,Plenteous,plentiful; abundant
8172,Plentiful ,a huge amount
8173,Plenty,enough
8174,Pleonasm,to use more words than necessary
8175,Plethora,an excess of
8176,Pliable,easily bent or formed
8177,Pliant,easily manipulated or controlled by people
8178,Plication,fold or crease
8179,Pliers,a hand tool used to hold objects firmly
8180,Plight,
8181,Plinth,a block of stone or wood that is used as the base of a pillar or statue
8182,Plod ,to advance slowly through something
8183,Plodding,slow and heavy walking
8184,Plop,a thud sound of something being dropped
8185,Plot,to plan secretly in order to carry out an illegal or harmful idea
8186,Plough,a farm tool that breaks up earth and soil
8187,Plow,a tool used to cut ground before planting
8188,Ploy ,a gimmick or strategy
8189,Pluck,to quickly remove something from its place
8190,Plucky,brave and determined
8191,Plug,an obstruction blocking something
8192,Plum, an oval-shaped reddish-purple colored fruit
8193,Plum,a purple fruit related to a peach that is fleshy and oval shaped
8194,Plumage,extravagant dress
8195,Plumb,to explore or delve into
8196,Plumb,straight and vertical
8197,Plumber,a person who installs and repairs water supply and sanitation pipes
8198,Plume,"a cloud of smoke, dust, or vapor that spreads into the air"
8199,Plummet,to drop abruptly
8200,Plump,"having a full, rounded shape"
8201,Plunder, to take forcefully usually during a time of disorder
8202,Plunge,to fall
8203,Plural,a category in grammar that refers to more than one
8204,Pluralism,where two or more sources of power exist
8205,Pluralistic,related to a system in which multiple things coexist together
8206,Plurality,a great amount or number
8207,Plus,additional
8208,Plush,"anything that is soft, comfortable, or luxurious"
8209,Plutocracy,a political system governed by the wealthy
8210,Pluvial,relating to rainfall
8211,Ply,"reinforced with fabric, yarn, or rope"
8212,Plymouth,a town in Massachusetts founded by Pilgrims in the early 1600s
8213,Pneumatic,applying air pressure to labor or move
8214,Pneumonia,illness of the lungs
8215,Poach,to cook by simmering in a small quantity of liquid
8216,Poaching,the illegal capturing or hunting of animals
8217,Pocket,a small pouch sewn in someone’s clothing
8218,Pococurante,not feeling concerned
8219,Pod,a little cluster of animals
8220,Podiatrist,a foot doctor
8221,Poet,a person who writes poems
8222,Poetic,Related to or used in poetry (a rhythmic style of writing)
8223,Poetic,relating to poetry
8224,Poetry,a literary work that uses style and rhythm to express feelings
8225,Poetry,the class of literature comprising poems
8226,Pogrom,"massacre, mass murder"
8227,Poignant,something that touches your emotions deeply
8228,Point blank,the near distance to a goal that it is most likely not going to be missed
8229,Point of view,one’s opinion or belief
8230,Point,a spiky and tight edge
8231,Pointless,to have no reason for something
8232,Poised,having self-confidence and self-assurance
8233,Poison,a dangerous and deadly substance
8234,Poisonous,pertaining to a dangerous and deadly substance
8235,Poke,to nudge sharply
8236,Polar,pertaining to the top and bottom areas of the Earth
8237,Polarity,"the state of having two opposite or contradictory attributes, tendencies, opinions or ideas"
8238,Polarization,the act of separating or making people split into two groups with opposite opinions or positions
8239,Polder,"a piece of low lying land that was once covered by water, but has been reclaimed and protected from further submersion with dikes"
8240,Pole,"a long round piece of wood, plastic or metal"
8241,Polemic,a written or verbal attack on an individual or thing
8242,Police,civil government forces tasked with detecting and preventing crime and maintaining public order
8243,Policy,a rule or guideline
8244,Polio,an infectious viral disease that can cause paralysis by targeting the nervous system
8245,Polis,a city state in ancient Greece
8246,Polite,behavior that is respectful of other people
8247,Politeness,behavior that takes other people’s thoughts and feelings into account and respects them
8248,Political Machine,a political organization with a lead figure that receives the support of businesses and citizens during a campaign
8249,Political Party,a group of politicians that have joined together because they adhere to the same ideals and beliefs
8250,Political,relating to the government or public affairs
8251,Political,government related
8252,Politician,an individual with a professional career in politics
8253,Politics,activities and policies related to the governance or running of a country
8254,Polity,"a politically organized unit, something that has a government"
8255,Poll,a survey of people’s opinions or choices regarding a certain subject.
8256,Pollen,a typically yellow dust like substance emitted from male flowers that carries the gamete necessary to fertilize female seeds
8257,Pollination,pollen movement from one part of the flower to another part
8258,Pollutant,"something that infects or contaminates the air, the ground or bodies of water"
8259,Pollute,"unclean or impure water, air or area"
8260,Pollution,substances that are harmful and toxic to the natural environment
8261,Pollyanna,a cheerful person who naively tries to find the good in everything
8262,Pollyannaish,describes a cheerful person who naively tries to find the good in everything
8263,Poltergeist,"an unseen ghost which makes noises and causes disruption, especially by causing physical objects to move or fly about"
8264,Poltroon,one who acts in a cowardly manner
8265,Polychromatic,having many colors
8266,Polygamy,"a way of life in which a person, usually a male, has more than one significant other or spouse"
8267,Polyglot ,an individual who is capable of using and understanding numerous languages
8268,Polygon,a plane shape with at least three straight sides and angles
8269,Polygraph,a device used to determine when someone is lying or telling the truth based on their body’s reactions
8270,Polymath,a person who knows a lot about many different subjects
8271,Polymer,a material comprised of tiny molecules which are connected together
8272,Polyp,"a cluster of benign cells that forms a small bundle and extends from organs, tissues, etc., on living organisms"
8273,Polyphonic,describes a sound that contains two or more voices or notes sounding at time
8274,Polysemy,the condition of a word or symbol having more than one meaning or connotation
8275,Polysyllabic,describes a word that has more than one syllable
8276,Polytheism ,the belief there are many deities or gods
8277,Polythene,a type of plastic made into thin sheets or bags and used to keep food fresh or to keep things dry
8278,Pommel,the rounded end on the hilt of a sword or dagger
8279,Pommel,the rounded knob on a horse's saddle that a rider grips with one hand
8280,Pomp,"magnificent display with impressive decorations, music, clothing, etc."
8281,Pompadour,a hairstyle in which the hair is combed into a high mound or roll at the front of the head
8282,Pomposity,arrogance; self-importance
8283,Pompous,having or exhibiting self-importance
8284,Pond,a small body of water that is usually shallow
8285,Ponder,to think about something seriously
8286,Ponderable,something that is important enough to be contemplated
8287,Ponderous,very boring or dull
8288,Pontificate,"to speak in an arrogant tone, particularly for a long period"
8289,Pool,a large container of water used for recreational or athletic purposes
8290,Poor,"to be deprived of food, money or goods"
8291,Pop,to burst quickly with a little sound
8292,Pope,The highest official in the Catholic Church
8293,Popinjay,a conceited person who focuses on their appearance
8294,Poppet,a figure that symbolizes an individual and is used to cast spells on that particular person
8295,Populace ,the ordinary people of a country
8296,Popular,to be liked or admired by many people
8297,Popularity,having the admiration and acceptance of others
8298,Populate,to occupy or fill a place with people
8299,Population Density,the number of people living within one square mile or kilometer
8300,Population,the number of living beings in one area of any particular group or faction
8301,Populism,support for the rights and powers of ordinary people
8302,Populous,highly populated
8303,Porcelain,a hard rock-like clay that is fired and then sealed
8304,Porcine,relating to or looking like pigs
8305,Pore,to scan or examine intently
8306,Pork barrel,the use of government funds to appease voters and win votes
8307,Porous,easy to move through because of the presence of small gaps
8308,Porridge,"a meal, typically cereal, that is boiled in water or milk"
8309,Porringer,"a small bowl, typically with a handle, used for soup, stew, or similar dishes"
8310,Port,a harbor where boats dock
8311,Portable,able to be carried or easily moved
8312,Portage,an act of carrying
8313,Portcullis,a sturdy sliding gateway door that moves vertically to open and close
8314,Portend,to indicate or give sign of a future occurrence
8315,Portent,a signal something is about to occur
8316,Portentous,"foreboding, ominous, or threatening"
8317,Porter,a person employed to carry luggage
8318,Portfolio,a collection of work
8319,Portion,a part of a whole
8320,Portly,somewhat overweight
8321,Portmanteau,"a large trunk or suitcase, typically made of stiff leather and opening into two equal parts"
8322,Portrait,"a portrait is a painting, drawing, or photograph of a person"
8323,Portray,"to depict an individual, situation, or specific event"
8324,Pose,to present a question or raise a topic for discussion
8325,Poseur,a pretender
8326,Posh,sophisticated and luxurious
8327,Posit,to offer as a suggestion
8328,Position,the way in which someone or something is placed or arranged
8329,Positive,absolutely certain of something
8330,Posse,a group of people who have a common characteristic or purpose
8331,Possess,to have or own something
8332,Possessive,"showing domination, control or influence over someone or something"
8333,Possibility,something that has the potential to occur or is likely to happen
8334,Possible,able to be done or achieved
8335,Possibly,indicative of doubt or uncertainty regarding a situation
8336,Post-haste,with a great deal of speed
8337,Postbellum,occurring or existing after a war
8338,Postdate,to assign a date to something later than was originally intended
8339,Posterior,close to or at the rear of something
8340,Posterity,all future generations
8341,Postgraduate,referring to study undertaken after completing a first degree
8342,Posthumous,taking place after one's death
8343,Postmark,"an official stamp that gives the time, place, and date of a package’s posting"
8344,Postmeridian,of or pertaining to the afternoon
8345,Postmortem,associated with happening after death
8346,Postmortem,something that happens after death
8347,Postnatal,related to the period of time following childbirth
8348,Postoperative,related to the period of time following a medical operation or procedure
8349,Postpartum,after childbirth
8350,Postpone,decide to have something occur at a later date than originally intended
8351,Postpone,to reschedule for a later time
8352,Postponement,the action of delaying or putting off something until later
8353,Postscript,an extra remark or at the end of a letter or email signified by the initials P.S.
8354,Postulate,to suggest something (such as an idea or theory) especially in order to start a discussion
8355,Posture,"the position that someone holds their body in, generally while standing or sitting"
8356,Postwar,pertaining to the period after a war
8357,Potable,good for drinking without fear of poisoning or disease; drinkable
8358,Potation,"the act of drinking a beverage, usually alcohol"
8359,Potency,"strength, effectiveness, or power"
8360,Potent,very strong in a chemical or medicinal way
8361,Potentate,"someone with unlimited power, usually a leader of a country or territory"
8362,Potential,likely to happen or become
8363,Potentially,with a possibility to occur or become reality in the future
8364,Potentiate,"to increase the power or effect of something, especially medicine"
8365,Potently,having great influence or effect over or on something
8366,Pother,a disturbance or commotion
